row,col,baseline,noise_width,timestamp,chip_name,chip_address,batch_name,batch_id,batch_started_at,save_notes
2,13,523,8,2026-04-10T18:16:00.303280+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
2,14,536,8,2026-04-10T18:16:00.849813+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
2,15,517,9,2026-04-10T18:16:01.394674+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
3,0,497,9,2026-04-10T18:16:01.923217+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
3,1,503,5,2026-04-10T18:16:02.459686+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
3,2,506,7,2026-04-10T18:16:02.996356+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
3,3,501,8,2026-04-10T18:16:03.520954+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
3,4,513,6,2026-04-10T18:16:04.051316+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
3,5,505,6,2026-04-10T18:16:04.611937+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
3,6,508,5,2026-04-10T18:16:05.157607+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
3,7,524,6,2026-04-10T18:16:05.705092+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
3,8,536,5,2026-04-10T18:16:06.249252+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
3,9,528,9,2026-04-10T18:16:06.798294+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
3,10,530,9,2026-04-10T18:16:07.335622+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
3,11,523,7,2026-04-10T18:16:07.869690+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
3,12,529,8,2026-04-10T18:16:08.419488+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
3,13,532,7,2026-04-10T18:16:08.964358+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
3,14,525,6,2026-04-10T18:16:09.492966+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
3,15,514,7,2026-04-10T18:16:10.016831+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
4,0,500,7,2026-04-10T18:16:10.542175+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
4,1,486,8,2026-04-10T18:16:11.065031+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
4,2,492,3,2026-04-10T18:16:11.616483+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
4,3,505,7,2026-04-10T18:16:12.167573+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
4,4,514,5,2026-04-10T18:16:12.714779+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
4,5,505,3,2026-04-10T18:16:13.242741+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
4,6,518,8,2026-04-10T18:16:13.765932+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
4,7,509,5,2026-04-10T18:16:14.291460+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
4,8,504,6,2026-04-10T18:16:14.814881+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
4,9,519,7,2026-04-10T18:16:15.353441+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
